"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"  1566 Icarus (1949 MA)",1.0,60200,0.8269,1.078,22.80,87.95,31.44,168.65,0.8805,0.0338
"  1620 Geographos (1951 RA)",2.56,60200,0.3355,1.246,13.34,337.17,276.95,5.84,0.7089,0.03
"  1862 Apollo (1932 HA)",1.5,60200,0.5599,1.471,6.35,35.56,286.05,31.77,0.5526,0.0261
"  1981 Midas (1973 EA)",3.4,60200,0.6501,1.777,39.82,356.85,267.82,92.26,0.4162,0.00314
"  2101 Adonis (1936 CA)",0.6,60200,0.7643,1.874,1.32,349.47,43.64,77.18,0.3843,0.0115
"  2102 Tantalus (1975 YA)",1.649,60200,0.2993,1.29,64.00,94.35,61.52,169.20,0.6727,0.0419
"  2135 Aristaeus (1977 HA)",,60200,0.5028,1.6,23.07,191.12,290.97,7.48,0.4871,0.00884
"  2201 Oljato (1947 XC)",1.80,60200,0.7114,2.178,2.52,74.87,98.42,211.77,0.3067,0.0029
"  2340 Hathor (1976 UA)",0.3,60200,0.4499,0.8438,5.86,211.30,40.09,264.78,1.272,0.00662
"  3122 Florence (1981 ET3)",4.9,60200,0.4231,1.769,22.14,336.06,27.88,193.13,0.4189,0.0445
"  3200 Phaethon (1983 TB)",6.25,60200,0.8900,1.271,22.29,265.15,322.24,334.02,0.6877,0.0196
"  3361 Orpheus (1982 HR)",0.3,60200,0.3229,1.21,2.66,188.68,302.36,88.47,0.7401,0.0144
"  3362 Khufu (1984 QA)",0.7,60200,0.4686,0.9895,9.92,152.42,55.07,319.35,1.001,0.0133
"  3671 Dionysus (1984 KD)",1.5,60200,0.5410,2.2,13.53,82.06,204.30,10.67,0.3021,0.0217
"  3757 Anagolay (1982 XB)",0.5,60200,0.4457,1.835,3.87,74.93,17.22,135.07,0.3966,0.0363
"  4015 Wilson-Harrington (1979 VA)",4,60200,0.6316,2.625,2.80,266.76,95.47,89.08,0.2318,0.0427
